username,date,rawContent,friendsCount,followersCount,replyCount,retweetCount,quoteCount,id,fullName,name,type,country,countryCode,outlinks,userLocation,track_uri,lyrics,unique_words
1017_P2,2022-01-30T00:38:35+00:00,https://t.co/iNR7VOpdNi,1119,1604,0,0,0,8173485c72e78ca5,"Atlanta, GA",Atlanta,city,United States,US,https://open.spotify.com/track/49FOa4nEgBQh9YyoZH0y3E?si=DzZuyPNwRO-pyR57_mAmpg,"Atlanta, GA",spotify:track:49FOa4nEgBQh9YyoZH0y3E, contributorsapp cap lyrics intro what s happening chi chi yeah section just straight cooked this motherfucker up mmm verse why that boy dick riding like he ain t got two feet for himself a lot of niggas hating so i got two straps in my belt he crossed out for some niggas that got him sitting in a cell riding deep in his twenties as a man he done failed pawn ass nigga niggas be on instagram tryna beef with me what the fuck i can t respond to that shit because you niggas too police pussy if it s really smoke why you ain t leave it in the streets when them type of niggas die everybody wanting peace chorus niggas be so cap up on that app i can t take em serious niggas be so cap up on that app tryna impress these bitches niggas be so cap up on that app tryna get some fame niggas be so cap up on that app til we blow out his brains verse instagram ass niggas want some beef with me bitch he heard some chiraq music now his ass super street red brembo brakes bitch i m in that super jeep you mad bout what i ain t do but what the fuck you do for me niggas jumping dick to dick risk they life just for a pic diss his opps just for a flick niggas on that groupie shit i swear i don t wanna do this shit but the money too legit fully auto choppers bitch i m riding with a super stick wet his fucking block now them niggas got that coochie stench bitch you know i keep it g so i compliment the gucci fit when i drive fast she say that shit make her coochie wet when niggas start doing everything you doing that s how you know you lit chorus niggas be so cap up on that app i can t take em serious niggas be so cap up on that app tryna impress these bitches niggas be so cap up on that app tryna get some fame niggas be so cap up on that app til we blow out his brains you might also like verse fuck that cap ass shit that rap ass shit that whack ass shit that whack ass shit get that phone up out my face before i smack that shit you bought designer tryna flex you should ve stacked that shit being dumb with your money don t ask me for shit fuck a instagram model i can t pay for sex i can t pay for sex fuck a ho all type of ways like i created sex i created sex niggas worried bout other niggas i be hating that chopper give his ass a haircut bitch we fading that headshot while he turned around we gon fade the back i m shooting while i m running michael jordan bitch i m fading back if i don t like your prada pussy nigga i ma take it back stand up on your word pussy nigga you can t take it back chorus niggas be so cap up on that app i can t take em serious niggas be so cap up on that app tryna impress these bitches niggas be so cap up on that app tryna get some fame niggas be so cap up on that app til we blow out his brains brains embed,"['pussy', 'turn', 'chi', 'pawn', 'mad', 'strap', 'die', 'cell', 'cross', 'ho', 'leave', 'fit', 'designer', 'drive', 'create', 'til', 'light', 'belt', 'wet', 'smack', 'man', 'word', 'face', 'dumb', 'worry', 'phone', 'blow', 'ride', 'fame', 'fade', 'pic', 'stack', 'ma', 'smoke', 'peace', 'bitch', 'sit', 'bout', 'brake', 'rap', 'money', 'section', 'compliment', 'risk', 'jeep', 'fully', 'red', 'fail', 'street', 'cook', 'haircut', 'diss', 'block', 'flex', 'buy', 'ass', 'jump', 'dick', 'whack', 'flick', 'super', 'sex', 'impress', 'hear', 'stick', 'start', 'hate', 'stand', 'deep', 'straight', 'cap', 'legit', 'respond', 'happen', 'model', 'beef', 'lot', 'jordan', 'fast', 'police', 'auto', 'boy', 'music', 'foot', 'run', 'swear', 'brain', 'type', 'pay', 'stench', 'chopper', 'gon', 'life', 'shoot']"
2mgmarko,2022-01-27T19:54:24+00:00,https://t.co/kvDLIDdY07,162,207,0,0,0,01a9a39529b27f36,"Manhattan, NY",Manhattan,city,United States,US,https://open.spotify.com/track/4Eunc7AcjnjTSUL6kyDX3l?si=u0GIIYwfRgmNyeMSjgLJaQ,Lower East Side/The Bronx,spotify:track:4Eunc7AcjnjTSUL6kyDX3l, contributorsmurder on my mind lyrics intro glock hot but you know i still carry on front street but you know i m not scary glock hot but you know i still carry on front street but you know i m not scary glock hot but you know i still carry on front street but you know i m not scary these niggas rapping about that shit but i live it i m going hard as fuck can t be a statistic i m counting plata yeah i m getting them digits got a full clip and you know i m gon rip it he violated so you know i m gon dip him he a loose tie so dj phat drop that shit aye and this beat from cash not from youtube blat blat fifty dj phat yeah rich slime aye chorus got murder on my mind thirty one shots in the glock just caught a opp now i m pouring up lines back of the back and the seat gon recline swiping the card til i see it decline all of my niggas they throwing up rich slime can t fuck with these niggas these niggas be swine i m sliming that nigga he acting too kind got big rocks on my wrist can t see the time just slid on his block and i m toting that g foreign bitch with me you know she a dime seventeen shooters with me and they slime african diamonds on me they gon shine i just took your bitch now she throwing up rich slime shades on my face but you know that i m not blind the pack on the way and you know that shit on time verse getting that sack like i play on the o line yeah we be sending hail mary s just shot the clip now the nigga act scary i m on the scene but i ain t talking about perry been trapping hard as fuck til i had a blackberry chopper all black like larry got a trap bitch she ain t tryna get married on t v but i ain t talking about glock hot but you know i still carry on front street but you know i m not scary these niggas rapping about that shit but i live it i m going hard as fuck can t be a statistic i m counting plata yeah i m getting them digits got a full clip and you know i m gon rip it he violated so you know i m gon dip him he a loose tie so you know i m gon clip him you might also like chorus got murder on my mind thirty one shots in the glock just caught a opp now i m pouring up lines back of the back and the seat gon recline swiping the card til i see it decline all of my niggas they throwing up rich slime can t fuck with these niggas these niggas be swine i m sliming that nigga he acting too kind got big rocks on my wrist can t see the time just slid on his block and i m toting that g foreign bitch with me you know she a dime seventeen shooters with me and they slime african diamonds on me they gon shine i just took your bitch now she throwing up rich slime shades on my face but you know that i m not blind the pack on the way and you know that shit on time outro s i p man sipping in peace crashout boyz embed,"['mary', 'drop', 'throw', 'card', 'tote', 'shine', 'hard', 'send', 'shade', 'swipe', 'hot', 'rich', 'larry', 'slime', 'talk', 'til', 'rip', 'digit', 'man', 'wrist', 'face', 'count', 'act', 'slide', 'trap', 'decline', 'shot', 'cash', 'beat', 'peace', 'statistic', 'bitch', 'rap', 'black', 'swine', 'pack', 'dip', 'kind', 'play', 'violate', 'loose', 'shooter', 'seventeen', 'street', 'block', 'sip', 'dime', 'tie', 'aye', 'big', 'murder', 'foreign', 'blat', 'marry', 'scary', 'recline', 'blackberry', 'mind', 'pour', 'carry', 'perry', 'scene', 'blind', 'thirty', 'line', 'sack', 'time', 'seat', 'hail', 'clip', 'rock', 'live', 'catch', 'chopper', 'gon', 'diamond', 'shoot']"
4WanderingRoses,2022-01-26T16:07:15+00:00,🥰🥰🥰https://t.co/TfUQmMA1Xx,4982,745,0,0,0,737fcb9daae404ac,"Boise, ID",Boise,city,United States,US,https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3?si=WM-vKCU_TWyD3nz3qGfFaQ,"Idaho, USA",spotify:track:4k3lPl8YTKuY8c1HelVnm3, contributors til you can t lyrics verse you can tell your old man you ll do some large mouth fishin another time you just got too much on your plate to bait and cast a line you can always put a rain check in his hand til you can t verse you can keep puttin off forever with that girl who s heart you hold swearin that you ll ask someday further down the road you can always put a diamond on her hand til you can t chorus if you got a chance take it take it while you got a chance if you got a dream chase it cause a dream won t chase you back if you re gonna love somebody hold em as long and as strong and as close as you can til you can t verse there s a box of greasy parts sittin in the trunk of that sixty five still waitin on you and your grandad to bring it back to life you can always get around to fixin up that pontiac til you can t chorus if you got a chance take it take it while you got a chanc if you got a dream chase it cause a dr am won t chase you back if you re gonna love somebody hold em as long and as strong and as close as you can til you can t bridge so take that phone call from your mama just talk away cause you ll never know how bad you wanna til you can t some day don t wait on tomorrow cause tomorrow may not show say your sorry s i love you s cause man you never know see cody johnson liveget tickets as low as you might also like chorus if you got a chance take it take it while you got a chance if you got a dream chase it cause a dream won t chase you back if you re gonna love somebody hold em as long and as strong and as close as you can til you can t yeah if you got a chance take it take it take it while you got a chance if you got a dream chase it cause a dream won t chase you back if you re gonna love somebody hold em as long and as strong and as close as you can til you can t til you can t outro yeah take it embed,"['someday', 'chase', 'forever', 'large', 'hold', 'day', 'win', 'close', 'wait', 'check', 'man', 'rain', 'heart', 'love', 'hand', 'phone', 'strong', 'long', 'box', 'mouth', 'bring', 'road', 'trunk', 'bad', 'bridge', 'girl', 'line', 'time', 'dream', 'ticket', 'low', 'greasy', 'plate', 'chance', 'talk', 'til', 'cast', 'tomorrow', 'life', 'bait', 'diamond']"
4ngelicaa,2022-01-28T16:33:23+00:00,https://t.co/ElfudPej6Y,214,1186,0,0,0,3b77caf94bfc81fe,"Los Angeles, CA",Los Angeles,city,United States,US,https://open.spotify.com/track/4a2eojIkLDQEHSr7rLVKaf?si=4somX9YtR9mN7q3-ns_45g,"Los Angeles, CA",spotify:track:4a2eojIkLDQEHSr7rLVKaf, contributorsi dont even like u lyrics verse i hate this you re chasing all these young bitches down the drain pathetic you re reckless how could you not think it s not insane to lead me on and act like nothing s wrong i hate this your face is the dumbest thing i ve ever seen pre chorus i can t believe i ever thought you were my type damn even after all this time chorus oh my god i don t even like you what the hell i just had a breakthrough you mean nothing if you can t be something to me oh my god i don t even like you what the hell i just had a breakthrough you mean nothing if you can t be something to me verse i dyed my hair bright pink and i don t care what you think the truth is you re useless just some dumb loser dude who s hooked on nicotine and bottles of amphetamines i hate this your face is the dumbest thing i ve ever seen pre chorus i can t believe i ever thought you were my type damn even after all this time chorus oh my god i don t even like you what the hell i just had a breakthrough you ll mean nothing if you can t be something to me oh my god i don t even like you what the hell i just had a breakthrough you ll mean nothing if you can t be something to me you might also like bridge you re old news you missed the only chance you had don t come crawling back cause i fucking hate your guts you re bad news i hope that karma bites your ass don t come crawling back cause i fucking hate your guts chorus oh my god i don t even like you what the hell i just had a breakthrough you ll mean nothing if you can t be something to me oh my god i don t even like you what the hell i just had a breakthrough you ll mean nothing if you can t be something to me you ll mean nothing if you can t be something to meembed,"['hair', 'chase', 'loser', 'nicotine', 'miss', 'insane', 'ass', 'thing', 'pathetic', 'young', 'face', 'dumb', 'hell', 'reckless', 'damn', 'act', 'wrong', 'bright', 'amphetamine', 'breakthrough', 'truth', 'gut', 'drain', 'bad', 'bridge', 'useless', 'bite', 'bitch', 'god', 'pink', 'time', 'hate', 'hook', 'bottle', 'hope', 'karma', 'dude', 'news', 'type', 'crawl', 'lead', 'chance', 'dye', 'care']"
504ChoppaCity,2022-01-28T19:44:01+00:00,"NEW 504!!! RUN THAT SHIT UP!!!
https://t.co/AzqaoNWBmo",2237,1313,0,0,0,c7ef5f3368b68777,"Baton Rouge, LA",Baton Rouge,city,United States,US,https://open.spotify.com/track/3argKmzYrrRtVst8VgRCZ7?si=Wz0lNLxrQAK8UlyzRkFtCA,"New Orleans, LA",spotify:track:3argKmzYrrRtVst8VgRCZ7, contributorstake off lyricschorusx it s time for my take off i wanna blow up make myself a legend live life like i imagined counting up bills waking up in the hills yeah hidden hills verse trying to make this shit lit go away i don t need your bullshit this rocket making me go fast i m going first you landing last going straight to mars might as well drop some bars i have the munchies bring pop tarts want this shit to pop in the charts smoking feel zero gravity like an astronaut sipping tea in yo hood smoke with me now to get in the mood with all my boys pulling up in a coupe we balling like we shooting hoops chorusx it s time for my take off i wanna blow up make myself a legend live life like i imagined counting up bills waking up in the hills yeah hidden hills verse i am high like i fly in the sky popped a xan now get the bands vintage feeling vhs in controlling sps who is best take a guess wanna blow up like sheck wes going straigh to mars like spacex working hard on projects i finna cop some ice risking it like i roll the dice fire in this beat gonna add some spice mic sounds nice tony tone going hard and hit a milestone like rickey henderson stealing bases ain t got grillz i got braces you might also like chorusx it s time for my take off i wanna blow up make myself a legend live life like i imagined counting up bills waking up in the hills yeah hidden hills verse this is my dream to the top with my team making shit heavy like whip cream my kicks clean doing better than you at i am never sober spooky shit in october might cop a rover next day is always hangover got my chenks out light it up like i m writing up you talking shit i m pulling up i got this people lit in the club cause i just dropped a bomb like i am in vietnam im stoopid and going dumb finishing this like this bottle of rum holy shit now i need gum now i need gum embed,"['dice', 'drop', 'day', 'steal', 'whip', 'hard', 'good', 'bring', 'cop', 'fly', 'pop', 'rickey', 'pull', 'gravity', 'spooky', 'bottle', 'sky', 'coupe', 'talk', 'light', 'clean', 'chart', 'dumb', 'kick', 'write', 'blow', 'count', 'hood', 'beat', 'tony', 'land', 'hit', 'rover', 'smoke', 'mar', 'spice', 'bomb', 'rum', 'high', 'tone', 'control', 'rocket', 'risk', 'mood', 'nice', 'team', 'hill', 'feel', 'sip', 'vintage', 'milestone', 'feeling', 'legend', 'hidden', 'gum', 'sober', 'yo', 'holy', 'club', 'people', 'tart', 'ball', 'sound', 'straight', 'astronaut', 'brace', 'bar', 'imagine', 'hoop', 'tea', 'work', 'roll', 'finish', 'fire', 'wake', 'fast', 'add', 'project', 'cream', 'guess', 'heavy', 'boy', 'smoking', 'time', 'dream', 'live', 'bill', 'band', 'life', 'ice', 'basis', 'shoot']"
777boujeeangel,2022-01-26T15:56:37+00:00,https://t.co/GutC2I3eWC,316,503,0,0,0,3b77caf94bfc81fe,"Los Angeles, CA",Los Angeles,city,United States,US,https://open.spotify.com/track/17vQTNbvhpvi92qOnDOFHB?si=Gy-pIGEyT7q3OZBdyqCc6A,818,spotify:track:17vQTNbvhpvi92qOnDOFHB, contributorsthis is kendrick lamar lyrics jay rock kendrick lamar future james blake king s dead kendrick lamar sza all the stars jay rock wow freestyle feat kendrick lamar kendrick lamar dna kendrick lamar money trees feat jay rock kendrick lamar swimming pools drank extended version kendrick lamar king kunta kendrick lamar element kendrick lamar backseat freestyle kendrick lamar alright kendrick lamar humble kendrick lamar loyalty feat rihanna kendrick lamar bitch don t kill my vibe feat jay z remix kendrick lamar love feat zacari kendrick lamar poetic justice feat drake nipsey hussle dedication feat kendrick lamar kendrick lamar a d h d future mask off feat kendrick lamar remix schoolboy q collard greens feat kendrick lamar kendrick lamar i kendrick lamar fear a ap rocky fuckin problems feat drake chainz kendrick lamar kendrick lamar xxx feat u kendrick lamar rigamortus kendrick lamar travis scott big shot kendrick lamar untitled kendrick lamar hiiipower kendrick lamar duckworth j cole forbidden fruit feat kendrick lamar schoolboy q birds the beez feat kendrick lamar kendrick lamar tammy s song her evils kendrick lamar she needs me feat dom kennedy murs remix mike will made it perfect pint feat kendrick lamar gucci mane rae sremmurd ab soul the law feat mac miller rapsody jay rock hood gone love it feat kendrick lamar cozz hustla s story feat kendrick lamar mike will made it buy the world feat lil wayne kendrick lamar future isaiah rashad what s wrong feat zacari kendrick lamar flying lotus never catch me feat kendrick lamar you might also likeembed,"['blake', 'extend', 'fear', 'swimming', 'world', 'element', 'lotus', 'future', 'rocky', 'fly', 'jay', 'travis', 'poetic', 'law', 'mac', 'mane', 'fruit', 'problem', 'feat', 'schoolboy', 'evil', 'dom', 'kill', 'untitled', 'drink', 'loyalty', 'remix', 'hood', 'shot', 'song', 'pool', 'bitch', 'collard', 'money', 'pint', 'story', 'mike', 'buy', 'alright', 'big', 'cole', 'soul', 'tree', 'humble', 'mask', 'drake', 'star', 'miller', 'dedication', 'love', 'justice', 'wrong', 'king', 'version', 'dead', 'wow', 'perfect', 'tammy', 'rock', 'forbid', 'catch', 'bird']"
A1_likethesauce,2022-01-27T06:07:34+00:00,The vibes for the next few days  https://t.co/hmAjKkECWz,288,126,0,0,0,3b77caf94bfc81fe,"Los Angeles, CA",Los Angeles,city,United States,US,https://open.spotify.com/track/6oEVnWKgPqIEPc53OYDNqG?si=QWf6n2qJR0iINJKPcTdUpA,,spotify:track:6oEVnWKgPqIEPc53OYDNqG, contributorbryson tiller essentials lyrics bryson tiller outta time feat drake bryson tiller exchange bryson tiller don t bryson tiller always forever summer walker bryson tiller playing games extended version bryson tiller blame bryson tiller rambo last blood feat the weeknd bryson tiller years go by bryson tiller canceled bryson tiller run me dry dj khaled wild thoughts feat rihanna bryson tiller bryson tiller just another interlude bryson tiller inhale h e r could ve been feat bryson tiller wale love her fault feat bryson tiller bryson tiller sorry not sorry bryson tiller self righteous bryson tiller self made playboi carti fell in luv feat bryson tiller bryson tiller sorrows bryson tiller right my wrongs ryan trey nowhere to run feat bryson tiller jazmine sullivan bryson tiller insecure from the hbo original series insecure bryson tiller somethin tells me bryson tiller let em knowyou might also likeembed,"['forever', 'drake', 'feat', 'fault', 'essential', 'tiller', 'original', 'extend', 'blame', 'summer', 'love', 'series', 'blood', 'wild', 'wrong', 'version', 'walker', 'dry', 'wale', 'trey', 'interlude', 'game', 'fall', 'year', 'time', 'righteous', 'exchange', 'insecure', 'run', 'thought', 'inhale', 'cancel']"
AKindOfLimbo,2022-01-28T00:09:09+00:00,https://t.co/995q0Aq4mL,475,654,0,0,0,879dfee0187b884a,"Westland, MI",Westland,city,United States,US,https://open.spotify.com/track/3n4r9HS59J2Utzr9wHbte4?si=4FVjm7HzTpSdoWpdhVFzKg&context=spotify%3Asearch%3Awolves%2520of%2520w,,spotify:track:3n4r9HS59J2Utzr9wHbte4, contributorswolves of winter lyrics intro record this you are no exception there are no reruns justify your reasons now it is my turn we are the wolves verse how s it gonna feel when there s no one to support ya how s it gonna feel when you re standing there alone you are no exception there are no reruns justify your reasons now it is my turn pre chorus your fits of paranoia drive your every whim well have you seen her this indelible creature this is the point we have the choice to be happy together chorus we have achieved so much more than you possibly thought we could love that you re seething you can achieve anything just remember no i in team there s two in brilliant we are the wolves of winter we live in a kingdom of blood verse when you gonna rise seek a man you can dispose of when you gonna try to boil my last bone you might also likethis is true obsession take me and my worth subtle as a steam burn more than just a scald pre chorus you stink of hallelujah but you wash yourself in sin well have you seen her this heavenly creature this is the point we have the choice to survive the winter chorus we have achieved so much more than you possibly thought we could love that you re seething you can achieve anything just remember no i in team there s two in brilliant we are the wolves of winter we live in a kingdom of blood guitar solo outro we are the wolves of winter we live in a kingdom of blood embed,"['happy', 'record', 'exception', 'turn', 'indelible', 'team', 'boil', 'steam', 'bone', 'feel', 'justify', 'man', 'whim', 'dispose', 'wolf', 'love', 'support', 'blood', 'reason', 'survive', 'paranoia', 'burn', 'solo', 'achieve', 'stink', 'guitar', 'choice', 'worth', 'scald', 'creature', 'seek', 'rerun', 'wash', 'point', 'hallelujah', 'subtle', 'kingdom', 'fit', 'winter', 'obsession', 'stand', 'seethe', 'live', 'ya', 'drive', 'remember', 'heavenly', 'possibly', 'brilliant', 'rise', 'sin', 'true']"
A_amberrr03,2022-01-29T00:24:35+00:00,https://t.co/W2IhKoKr3H,148,102,0,0,0,fb1000b1ee87a362,"Brazoria, TX",Brazoria,city,United States,US,https://open.spotify.com/track/6LBpGdlukUARutol7VgWIS?si=4EN2m10zRxu_Nsm8U53oRQ&context=spotify%3Asearch%3Ajan,some random black hole ;),spotify:track:6LBpGdlukUARutol7VgWIS, contributorstranslationsespa olenglishjanuary th lyrics produced by j cole team titans intro rap tune can i make a million dollars off a rap tune can i make a million dollars off a rap tune i m tryna make a million dollars off a rap tune yeah look verse the real is back the ville is back flow bananas here peel this back and what you ll find is your highness can paint a picture that is vivid enough to cure blindness carolina s finest you knew that already in terms of the greatest i proved that already and if you would like i do it twice i just sharpen my blade for a minute became lost in my ways this for my niggas that was tossed in the graves every so often i fade deep in my thoughts and then get lost in the days we used to play before your coffin was made just got the call nigga got caught with a stray hope he s okay just got paid what cochran got paid to free oj just to share my life on the stage in front of strangers who know a nigga far too well and that s the danger know me better than i know myself i rip a page out my notebook in anger and let these thoughts linger singing chorus don t give em too much you don t give em too much you don t let em take control don t let em take control it s one thing you do it s one thing you do don t let em taint your soul don t let em taint your soul if you believe in god if you believe in god one thing s for sure one thing s for sure if you ain t aim too high if you ain t aim too high then you aim too low then you aim too low verse what s the price for a black man life i check the toe tag not one zero in sight i turn the tv on not one hero in sight unless he dribble or he fiddle with mics look out the window cause tonight the city lit up with lights cameras and action may no man alive come through and damage my faction i brought you niggas with me cause i love you like my brothers and your mothers like my mother think we need a plan of action the bigger we get the more likely egos collide it s just physics please let s put our egos aside you my niggas and should our worst tendencies turn us into enemies i hope that we remember these nights full of hennessy when hov around we switch up to that d usse gotta show respect one day we tryna stay where you stay cause we from where you from not talkin bout the slums i m talkin bout that mind state that keep a black nigga dumb keep a black nigga dyin by a black nigga gun and keep on listening to the frontin ass rap niggas son yeah i said son this is new york s finest for winters straight i took on new york s climate like show me new york s ladder i climb it and set the bar so high that you gotta get obama to force the air force to find it never mind it you ll never reach that cole is the hypnotist control the game whenever he snap that s every track nigga you might also like chorus don t give em too much you don t give em too much you don t let em take control don t let em take control it s one thing you do it s one thing you do don t let em taint your soul don t let em taint your soul if you believe in god if you believe in god one thing s for sure one thing s for sure if you ain t aim too high if you ain t aim too high then you aim too low then you aim too low verse i ain t serve no pies i ain t slang no dope i don t bring no lies niggas sang my quotes i don t play no games boy i ain t no joke like the great rakim when i make my notes you niggas might be l or you might be kane or you might be slick rick with chains or you might be drizzy drake or kendrick lamar but check your birth date nigga you ain t the god nah you ain t the god nigga cole the god cole the god cole the god january th outro make a million dollars off a rap tune can i make a million dollars off a rap tune sound of baby laughing i m tryna make a million dollars off a rap tune i wanna make a million dollars off a rap tune i m gonna make a million dollars off a rap tune embed,"['flow', 'page', 'turn', 'day', 'laugh', 'banana', 'check', 'sight', 'note', 'pie', 'baby', 'blade', 'physics', 'cure', 'track', 'danger', 'hypnotist', 'bring', 'tendency', 'fiddle', 'god', 'lie', 'winter', 'singing', 'state', 'joke', 'climate', 'camera', 'rip', 'brother', 'light', 'minute', 'price', 'ladder', 'listen', 'tag', 'blindness', 'son', 'man', 'prove', 'dumb', 'birth', 'set', 'peel', 'find', 'fade', 'term', 'quote', 'air', 'aim', 'window', 'plan', 'gun', 'dollar', 'taint', 'sharpen', 'toss', 'linger', 'rap', 'high', 'black', 'toe', 'real', 'hero', 'damage', 'ego', 'play', 'control', 'remember', 'tonight', 'dribble', 'snap', 'stray', 'slang', 'chain', 'coffin', 'dope', 'share', 'alive', 'team', 'force', 'date', 'serve', 'free', 'ass', 'switch', 'big', 'respect', 'action', 'stay', 'paint', 'cole', 'soul', 'bad', 'bout', 'vivid', 'picture', 'mother', 'ville', 'hope', 'deep', 'low', 'great', 'sing', 'sound', 'notebook', 'straight', 'night', 'enemy', 'produce', 'lose', 'bar', 'york', 'drake', 'highness', 'stranger', 'slum', 'mind', 'thing', 'slick', 'love', 'city', 'reach', 'tune', 'fine', 'grave', 'game', 'boy', 'climb', 'million', 'thought', 'pay', 'faction', 'catch', 'rick', 'stage', 'life', 'anger', 'collide']"
AbbeyBday,2022-01-29T19:42:17+00:00,"A mood
https://t.co/LWzE5nrWQ6 https://t.co/6Mt302yp6J",2207,1274,1,1,0,00ab941b685334e3,"Nashville, TN",Nashville,city,United States,US,https://open.spotify.com/track/5xLDmkobOw674TLTBBmnuN?si=IjgU_c-vTvCGoCAc-bmdkw,"Nashville, TN",spotify:track:5xLDmkobOw674TLTBBmnuN, contributorsi get lonely lyrics chorus i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but verse sittin here with my tears all alone with my fears i m wondering if i have to do without you but there s no reason why i fell asleep late last night cryin like a newborn child holdin myself close pretendin my arms are yours i want no one but you chorus i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but verse i still remember to the day in fact it was a third monday you came along to be the one for me and now i m alone i m sittin here by the phone call and say that you re okay so that i have the chance to beg you to stay i want no one but you chorus i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but see janet jackson liveget tickets as low as you might also like breakdown gonna break it down break it down break it down gonna break it down break it down break it down you know that i know that i get so lonely thinking of you chorus i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear i want no one but you i get so lonely can t let just anybody hold me you are the one that lives in me my dear want no one but you embed,"['hold', 'asleep', 'day', 'close', 'lonely', 'late', 'fear', 'phone', 'reason', 'fact', 'arm', 'stay', 'beg', 'breakdown', 'child', 'tear', 'fall', 'ticket', 'live', 'low', 'thinking', 'dear', 'remember', 'chance', 'break', 'night']"
